t2m,d2m,msl,tp,ssrd,Date Time,windspeed_10,windspeed_100
269.0411115947339,264.4376927115695,102513.86278001161,0.0,0.0,2017-01-01 00:00:00,2.7742975817187383,6.93068822508904
268.6082523752197,264.36033575350694,102471.98063666398,0.0,0.0,2017-01-01 01:00:00,2.6434514120741968,6.717645505004411
268.427192584956,264.36718150200807,102420.91144251752,0.0,0.0,2017-01-01 02:00:00,2.5274245907521697,6.486442318737463
268.1888673726554,264.2473809032386,102369.39190274366,0.0,0.0,2017-01-01 03:00:00,2.513685420461645,6.416951954251961
268.1737088785868,264.151540424223,102309.04558867289,0.0,0.0,2017-01-01 04:00:00,2.5128965473541167,6.36053876595104
268.32950451206955,264.1850845918785,102257.97639452643,0.0,0.0,2017-01-01 05:00:00,2.5044384971678584,6.3195214693014075
268.22002649935195,264.02147120270183,102256.71542676973,0.0,0.0,2017-01-01 06:00:00,2.399600881087912,6.103993861900171
268.26887053579514,263.8845562326796,102215.46376730045,0.0,0.0018185769001876988,2017-01-01 07:00:00,2.2909097200217103,5.749615008786799
269.85798599731896,264.8970424359942,102230.86558775732,0.0,0.05943378728613406,2017-01-01 08:00:00,2.489753272521922,5.283846340244848
272.12586513769185,266.1696670823511,102181.7779143714,0.0,0.15333971003582586,2017-01-01 09:00:00,2.6027031479519147,4.989176387204166
273.90614605219173,267.3786262676477,102113.05517163109,0.0,0.22726822876345587,2017-01-01 10:00:00,2.382728265291975,4.376940129435117
275.567685429821,268.1234437045688,102035.95600022127,0.0,0.26328952232717356,2017-01-01 11:00:00,2.3903567203052116,4.1697141908866175
276.4595101641897,268.8114414289306,101945.25639086415,0.0,0.2523511190460447,2017-01-01 12:00:00,2.29227811944228,4.683507657189058
276.32139944045366,268.84293187203576,101886.62139017748,0.0,0.19426442576004965,2017-01-01 13:00:00,2.4167392593699506,5.31443285028462
274.43416692891424,267.3163299562875,101828.7970116201,0.0,0.1054909311508875,2017-01-01 14:00:00,2.8011599954212234,5.8991306424482355
272.18481483684747,265.95265685486584,101802.85710348222,0.0,0.01783552456184077,2017-01-01 15:00:00,2.7414883208941347,6.411072561601758
271.26941022281653,265.99989251952354,101788.26590515467,0.0,0.0,2017-01-01 16:00:00,2.4485268593052116,6.601861694704561
270.6445434117669,265.5254821483964,101781.69085899471,0.0,0.0,2017-01-01 17:00:00,2.529224727681724,6.7011540009430375
270.2647389214928,265.1482814059851,101798.35364720828,0.0,0.0,2017-01-01 18:00:00,2.620091064369347,6.76349067714097
269.88661870833744,264.8292695258332,101800.33516796882,0.0,0.0,2017-01-01 19:00:00,2.784623281607695,6.958347265665617
269.72155955070167,264.53969436423614,101793.67005268339,0.0,0.0,2017-01-01 20:00:00,2.8989672434723746,7.183133820786355
269.64745135747745,264.2247899331849,101751.6077710848,0.0,0.0,2017-01-01 21:00:00,2.8836185510746595,7.277751717816461
270.0045181066487,264.4109942924152,101706.84341572186,0.0,0.0,2017-01-01 22:00:00,2.8245789108367085,6.993540072878358
269.77208786426365,264.36512777745776,101649.91972841928,0.0,0.0,2017-01-01 23:00:00,2.882989478743115,7.213455709240237
